% Dataset from: http://mail.tku.edu.tw/chchou/others/others.htm
%
% M. C. Su, C. H. Chou, and C. C. Hsieh, “Fuzzy C-Means Algorithm with a Point Symmetry Distance,”
% International Journal of Fuzzy Systems, vol. 7, no. 4, pp. 175-181, 2005.
%
@RELATION DS-850

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,5}

@DATA
4.489013,3.949385,0
3.234519,3.032182,0
2.339381,3.233512,0
3.067888,3.272515,0
3.337977,3.214286,0
1.623692,1.968673,0
4.459075,3.803079,0
2.746071,2.881115,0
3.022935,3.244224,0
2.634098,2.410794,0
2.209555,2.269341,0
2.938520,4.243461,0
3.307581,3.077136,0
4.325037,3.338618,0
2.868755,2.639683,0
2.849528,2.990066,0
3.360591,3.146077,0
1.935163,2.120289,0
3.001328,3.005997,0
2.815287,2.893017,0
1.970595,2.479919,0
3.990677,3.728278,0
3.402707,3.298334,0
3.945814,2.965621,0
2.735176,2.449980,0
3.608432,3.170064,0
3.252739,3.002152,0
2.484497,3.060198,0
3.994705,3.673803,0
2.799814,2.734718,0
2.907117,2.647374,0
3.115223,4.262139,0
2.973952,2.696356,0
3.986648,3.551485,0
3.326075,3.389431,0
1.859722,1.628361,0
2.762185,2.475341,0
2.888989,3.010208,0
2.817301,3.156148,0
3.017533,2.841655,0
3.685522,3.447386,0
3.414609,3.078967,0
2.412534,2.670171,0
3.551576,3.318201,0
3.119800,3.169698,0
3.662816,3.273339,0
1.914106,2.575411,0
2.720985,2.346248,0
3.747047,3.591311,0
4.447722,3.787515,0
2.788827,2.815561,0
3.065783,2.989334,0
3.015519,3.216941,0
2.533937,2.938429,0
2.929548,3.161733,0
3.606601,3.310785,0
3.961470,3.833018,0
3.200095,3.341090,0
3.943892,3.325709,0
2.584658,2.652593,0
3.367641,3.577944,0
2.175130,2.389279,0
3.093066,3.129780,0
2.019761,2.741035,0
4.233482,4.221580,0
2.910321,2.896588,0
1.983322,2.480926,0
3.507996,2.276940,0
3.990402,4.059343,0
1.925916,1.847545,0
3.645787,3.182974,0
4.467864,3.664098,0
3.275536,3.071001,0
4.161977,3.177847,0
3.095080,2.917920,0
4.149342,2.954726,0
3.058275,2.963149,0
3.212088,3.750984,0
2.805124,2.793954,0
4.023911,3.317652,0
1.784738,2.587313,0
2.851543,2.983566,0
3.440977,3.477416,0
3.884014,3.279107,0
2.566988,1.667821,0
3.631870,3.683508,0
4.088458,3.490051,0
3.419828,3.199820,0
1.620579,2.594363,0
2.707251,2.447600,0
3.235984,3.104053,0
3.289636,3.267296,0
2.412900,2.971023,0
3.734321,3.365169,0
3.032090,3.086383,0
3.335414,2.976608,0
3.027696,2.906568,0
4.230003,3.549654,0
2.794412,2.961592,0
2.394681,2.819956,0
3.058641,2.859142,0
4.406613,3.409665,0
2.688025,2.837901,0
3.278008,2.598025,0
3.077044,3.235527,0
2.397153,2.696722,0
3.551210,3.163015,0
4.190451,3.168416,0
3.975661,3.483825,0
2.232810,2.231712,0
3.067614,2.632267,0
4.437742,3.717017,0
3.957350,3.623539,0
1.619938,2.306330,0
2.358333,2.488342,0
2.216697,3.003250,0
1.918134,2.094745,0
4.448454,3.367367,0
4.092486,3.572451,0
3.174734,3.003067,0
2.684088,3.011216,0
2.024979,1.756264,0
3.234336,3.186087,0
2.188406,3.151204,0
3.201285,3.398129,0
3.079424,3.077868,0
3.771584,3.194418,0
3.158528,4.194937,0
3.240745,2.722175,0
3.004074,2.656713,0
4.359004,3.983718,0
3.045457,3.725257,0
3.311518,3.196341,0
3.102863,3.114399,0
2.704230,2.827280,0
2.041917,2.068468,0
3.529603,3.167592,0
1.794351,2.203787,0
3.494263,3.562563,0
4.082690,3.480621,0
2.457213,3.019456,0
3.813425,3.711249,0
3.066973,3.531343,0
2.773629,2.889630,0
2.249748,2.807321,0
3.618595,3.175283,0
2.797983,2.840190,0
1.904126,3.045457,0
3.362239,2.910504,0
2.943556,2.240318,0
2.555361,2.811625,0
3.765175,3.232414,0
2.491638,2.394314,0
3.685614,2.645451,0
3.340632,3.259880,0
1.918226,2.746071,0
2.996475,3.052416,0
2.523499,3.386685,0
3.628666,3.390255,0
4.116474,3.218497,0
2.613132,2.772439,0
3.207785,3.330836,0
2.992813,3.088488,0
3.233055,3.377255,0
1.767800,2.044023,0
2.996384,3.115223,0
3.601840,2.843760,0
3.942701,3.336421,0
3.245048,3.634434,0
2.772988,3.315912,0
4.425474,3.311792,0
3.493622,3.076952,0
3.586550,3.219779,0
3.369289,3.120167,0
3.822855,3.334498,0
2.712561,2.337275,0
3.655492,3.177847,0
2.587588,2.708991,0
3.208426,3.031816,0
3.306482,3.462127,0
3.516236,3.213370,0
2.438810,2.723365,0
3.334407,3.013596,0
4.029862,3.311426,0
3.439787,3.152211,0
3.083178,3.240837,0
2.100421,1.732002,0
3.254204,3.328455,0
2.785348,3.730201,0
4.286676,3.583987,0
1.889660,2.654149,0
2.709815,2.390561,0
2.923139,2.828928,0
2.654332,2.930189,0
2.894391,2.502533,0
3.320032,3.080798,0
2.326014,2.402280,0
1.332209,0.848247,0
0.332606,1.522279,0
1.871746,0.571383,0
0.207541,1.269402,0
1.274987,0.755776,0
-0.315058,1.648808,0
0.344783,0.985763,0
1.361049,0.866649,0
2.266167,0.112964,0
1.621342,0.739845,0
1.357845,0.763741,0
0.229057,1.541688,0
0.090167,2.268548,0
0.854747,0.964064,0
1.111011,0.955916,0
0.646733,1.228477,0
0.478088,1.719123,0
2.260125,0.195547,0
1.244407,0.994827,0
0.884320,1.153676,0
1.209342,0.657262,0
1.785043,0.957106,0
0.503357,1.339991,0
0.797342,1.069720,0
-0.031785,1.403989,0
1.447295,0.832316,0
0.872784,1.564486,0
0.167989,1.615665,0
2.123798,1.055895,0
0.881756,1.013138,0
1.551759,0.457488,0
1.230125,0.906842,0
0.793588,0.533113,0
1.406369,0.729133,0
1.399228,1.232414,0
0.842662,1.141316,0
-0.146321,1.084460,0
2.246941,0.728401,0
1.768929,0.250023,0
0.961959,0.926069,0
0.312922,1.584811,0
0.590243,1.318567,0
1.702002,0.393399,0
0.133290,0.976333,0
1.409116,0.916822,0
0.187765,1.056169,0
0.675939,0.721442,0
1.467528,0.469115,0
0.868755,0.925977,0
0.826731,1.108997,0
2.161336,0.437346,0
1.886944,0.347163,0
0.483856,1.694678,0
1.781289,0.356319,0
0.980819,0.936048,0
1.145161,0.524140,0
0.166158,1.298975,0
-0.324396,1.584536,0
-0.341426,1.224631,0
1.225364,1.003067,0
-0.391873,1.768654,0
0.487243,1.501587,0
0.555727,0.266137,0
