@RELATION chameleon-t5.8k

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5}

@DATA
121.561996,81.001999,2
762.096985,70.461998,1
127.569,113.457001,2
95.467003,116.822998,2
652.234009,60.743,0
324.015991,91.058998,4
639.747986,109.970001,0
360.282013,38.381001,4
306.850006,71.127998,4
484.187012,87.379997,3
393.657013,84.093002,4
506.434998,122.746002,3
112.581001,19.120001,2
228.705002,74.679001,5
649.466003,77.259003,0
768.130005,109.450996,1
747.573975,84.311996,1
775.633972,78.057999,1
241.565002,83.218002,5
682.984985,77.012001,0
577.830994,106.556999,0
253.660995,77.766998,5
64.115997,94.832001,2
55.554001,77.417,2
548.424011,67.278999,0
733.078003,83.186996,1
310.682007,80.522003,4
745.864014,142.261002,1
290.442993,155.729996,5
598.054016,106.678001,0
87.004997,36.759998,2
639.640991,46.352001,0
119.848,119.064003,2
60.721001,116.612999,2
722.375,48.498001,1
691.05603,77.653,0
635.617004,104.271004,0
725.528015,89.980003,1
510.291992,66.658997,3
619.107971,126.945999,0
611.562988,121.912003,0
312.51001,81.755997,4
640.291016,99.178001,0
373.234985,45.612999,4
375.992004,91.449997,4
232.694,109.503998,5
605.695007,33.347,0
624.91803,76.685997,0
463.015991,70.754997,3
292.125,55.312,4
521.155029,65.891998,3
748.950012,118.772003,1
627.442993,148.744003,0
319.139008,114.913002,4
374.606995,90.989998,4
473.226013,86.073997,3
460.148987,87.914001,3
589.187012,41.852001,0
66.552002,102.445,2
428.223999,81.871002,4
719.450989,41.173,1
643.057007,88.280998,0
319.290985,114.130997,4
552.572021,91.389,0
372.127014,101.216003,4
219.613007,124.125999,5
305.470001,75.464996,4
190.897995,63.881001,5
669.844971,77.023003,0
747.578003,82.941002,1
612.718018,127.416,0
650.607971,85.202003,0
562.491028,77.732002,0
99.407997,123.476997,2
373.578003,47.561001,4
119.271004,41.755001,2
320.598999,102.574997,4
473.028015,97.907997,3
386.785004,61.125999,4
43.040001,145.251007,2
730.557983,89.420998,1
392.695007,89.742996,4
315.665985,79.015999,4
714.502991,103.897003,1
72.172997,36.658001,2
742.702026,44.07,1
232.733002,85.996002,5
589.484985,28.806999,0
510.835999,114.318001,3
458.40799,95.913002,3
544.504028,32.652,3
358.075012,35.200001,4
641.109009,97.644997,0
271.841003,76.975998,4
686.612,37.124001,1
451.606995,119.617996,3
597.505981,111.469002,0
506.488007,45.852001,3
191.632996,73.132004,5
220.776993,113.158997,5
594.893982,104.123001,0
507.376007,103.654999,3
342.789001,34.183998,4
223.962997,84.974998,5
74.682999,77.225998,2
50.952999,91.820999,2
641.02301,116.862999,0
687.879028,76.602997,0
447.983002,61.563999,3
195.001007,49.942001,5
637.169983,56.174999,0
107.400002,94.708,2
124.691002,88.194,2
286.438995,147.785995,5
79.572998,124.060997,2
516.916016,75.572998,3
93.746002,90.277,2
182.621002,154.496002,5
187.882004,94.653999,5
166.625,141.270004,5
776.242981,123.374001,1
651.09198,111.934998,0
372.493011,54.273998,4
372.528015,122.831001,4
520.409973,60.632,3
477.234985,35.341999,3
367.325012,148.106995,4
611.195984,40.414001,0
206.240005,76.779999,5
599.150024,114.672997,0
450.311005,123.221001,3
102.848,76.717003,2
620.140991,42.645,0
260.604004,75.376999,4
197.102005,38.658001,5
241.089996,83.378998,5
458.634003,51.484001,3
634.554993,121.371002,0
332.700012,116.450996,4
