@RELATION chameleon-t7.10k

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9}

@DATA
539.512024,411.975006,1
542.241028,147.626007,2
653.468994,370.727997,0
598.585999,284.882996,1
573.062988,294.562988,1
139.570007,401.381012,7
228.970001,281.992004,7
305.747009,94.350998,8
610.617004,167.190002,1
500.450012,118.780998,2
341.804993,361.755005,6
128.582993,81.598999,8
39.105,381.265991,7
294.911987,421.480011,7
189.214005,322.730011,5
251.889008,69.384003,8
116.098999,296.382996,7
86.839996,307.89801,7
509.272003,429.165985,1
90.306999,73.486,8
269.270996,163.341995,9
137.112,289.688995,7
63.613998,406.865997,7
224.473007,92.762001,8
345.226013,306.391998,6
188.507996,282.093994,7
531.218994,468.524994,1
47.276001,338.063995,7
543.882019,319.738007,1
379.937988,97.189003,4
84.786003,158.792007,9
542.72998,307.096008,1
430.753998,387.63501,7
578.630005,455.946991,1
374.859009,346.17099,6
185.274002,91.510002,8
561.465027,397.192993,1
164.585999,286.822998,7
131.626999,166.382004,9
377.093994,66.892998,4
386.608002,289.194,7
531.517029,393.152008,1
157.626999,205.548004,9
181.292999,148.632996,9
496.5,219.106995,2
596.487,299.589996,1
545.252991,396.721985,1
388.901001,386.545013,7
512.94397,271.19101,2
589.398987,453.752991,1
310.587006,434.139008,7
228.186005,404.265991,7
506.63501,61.938,3
90.807999,151.570999,9
506.355988,340.463989,1
253.466995,414.664001,7
572.642029,309.684998,1
456.951996,309.30899,7
656.77301,117.589996,1
99.839996,113.858002,8
536.731018,342.661987,1
563.982971,190.306,2
320.544006,334.019012,6
129.748001,415.173004,7
564.97699,405.80899,1
626.16803,325.358002,0
170.098007,278.631989,7
243.063004,441.615997,7
441.855988,166.511993,3
641.458008,402.427002,1
165.677002,258.368011,7
615.776001,123.528999,1
47.348,173.026993,9
286.177002,342.243988,6
42.349998,154.636002,9
163.807999,359.445007,5
148.070007,264.644989,7
473.192993,318.136993,7
110.273003,148.951004,9
154.587997,342.123993,5
216.731003,284.403015,7
188.031006,106.501999,8
626.596985,408.743011,1
145.341003,168.382004,9
617.981018,186.985001,1
223.218002,98.852997,8
646.952026,121.884003,1
613.054993,198.557007,1
217.100006,353.244995,5
238.944,336.570007,5
476.220001,155.419998,3
169.203995,62.771,8
21.128,311.597992,7
75.241997,182.811005,9
353.394989,417.424011,7
129.201004,68.598,8
170.356995,371.300995,5
320.928009,424.826996,7
516.401978,86.344002,3
359.776001,423.584015,7
638.393982,86.559998,1
150.483002,75.369003,8
600.05603,427.462006,1
547.299988,454.506012,1
135.699997,272.295013,7
369.291992,363.919006,6
127.582001,87.001999,8
558.185974,327.880005,1
297.020996,261.791992,7
160.970993,335.471008,5
228.677002,408.656006,7
303.339996,79.885002,8
199.936996,144.559998,9
126.147003,426.477997,7
536.09198,243.266998,2
211.455994,169.444,9
628.419006,173.817001,1
555.273987,280.162994,1
284.822998,433.441986,7
205.843994,156.134995,9
252.940002,342.634003,6
289.777008,85.092003,8
161.942001,107.855003,8
678.869995,439.984985,1
668.520996,441.214996,1
496.812988,353.347992,1
473.494995,40.794998,3
136.164993,234.908997,7
331.536987,277.278992,7
227.753998,161.722,9
29.653999,94.833,8
59.145,134.664993,9
567.411011,281.058014,1
345.661011,333.121002,6
410.20401,399.162994,7
427.972992,313.82901,7
544.440979,446.593994,1
199.862,417.181,7
314.30899,322.428986,6
50.758999,82.452003,8
584.98999,401.860992,1
435.265991,158.348999,3
43.442001,345.700989,7
105.735001,266.322998,7
167.479004,175.306,9
154.638,357.752991,5
390.036987,278.677002,7
590.210022,288.769012,1
639.905029,111.399002,1
606.062988,138.800003,1
561.278015,295.947998,1
318.694,369.30899,6
242.164993,274.343994,7
644.638,102.209999,1
102.455002,162.998001,9
419.838989,290.972992,7
539.109009,215.755005,2
188.621994,417.372986,7
375.708008,399.623993,7
361.789001,349.989014,6
605.15802,394.075012,1
30.992001,171.520996,9
221.783005,106.579002,8
205.268997,138.574005,9
185.667999,335.604004,5
424.294006,97.509003,3
523.036011,399.070007,1
631.953003,90.276001,1
177.535004,415.957001,7
334.993011,339.56601,6
513.419983,414.022003,1
201.416,163.787994,9
75.614998,461.57901,7
645.271973,89.614998,1
503.428986,236.263,2
312.492004,210.246994,9
606.664001,427.973999,1
481.533997,161.421997,3
517.442017,406.076996,1
237.694,108.414001,8
447.132996,312.509003,7
522.184021,366.365997,1
428.716003,279.231995,7
657.953979,380.846008,0
125.621002,323.664001,5
203.886993,440.687012,7
138.916,419.429993,7
530.117004,253.397995,2
162.988007,421.220001,7
423.479004,292.575989,7
525.344971,249.365005,2
445.312012,133.772995,3
52.852001,51.333,8
652.184021,369.588989,0
522.461975,396.860992,1
560.739014,344.040009,1
68.316002,152.404007,9
113.525002,399.234985,7
361.20401,261.708008,7
35.911999,370.350006,7
631.922974,124.433998,1
426.097992,131.962997,3
29.856001,350.19101,7
444.186005,74.773003,3
517.953003,434.911011,1
330.317993,93.491997,8
89.978996,99.889999,8
368.223999,83.125,4
368.832001,354.847992,6
260.459991,243.822006,7
257.160004,281.057007,7
435.975006,303.593994,7
403.571991,402.153015,7
403.13501,307.951996,7
324.640015,316.003998,6
526.518982,373.040009,1
613.237976,177.156998,1
349.595001,361.018005,6
368.64801,321.57901,6
466.888,218.477997,2
209.759003,90.274002,8
194.893997,145.770996,9
544.416992,304.859985,1
606.672974,393.790009,1
336.544006,378.734009,6
598.466003,375.536987,1
40.381001,148.067993,9
217.701004,69.130997,8
623.314026,416.785004,1
309.382996,352.445007,6
79.310997,284.882996,7
151.524994,100.473,8
576.856995,319.355988,1
220.875,78.129997,8
119.988998,91.217003,8
315.947998,355.893005,6
346.309998,345.015015,6
426.153015,292.544006,7
440.257996,101.383003,3
247.341995,162.660995,9
659.093018,306.937012,0
324.884003,170.819,9
66.556,173.718994,9
571.239014,104.254997,3
210.753006,253.785995,7
637.757996,346.757996,0
603.078979,404.593994,1
74.904999,410.269012,7
229.238007,179.164993,9
512.989014,248.854996,2
183.524994,168.171005,9
528.343994,223.132996,2
571.421021,153.628006,2
322.877991,181.177002,9
208.623993,105.845001,8
257.717987,412.964996,7
191.507996,423.796997,7
544.46698,205.031006,2
183.649002,69.685997,8
269.04599,415.209015,7
657.117004,452.665009,1
341.696014,375.322998,6
113.268997,397.28299,7
632.650024,178.970993,1
253.363007,93.762001,8
521.940002,319.312012,1
512.971008,346.678009,1
242.242004,70.839996,8
343.147003,94.478996,8
667.140015,364.03299,0
156.889999,150.130997,9
173.425995,425.682007,7
462.584991,46.923,3
205.884003,183.192993,9
582.677002,215.259003,2
321.800995,253.264008,7
517.664978,70.057999,3
257.065002,103.917999,8
443.221985,101.127998,3
261.802002,258.218994,7
377.427002,277.386993,7
637.02301,204.921005,1
613.468994,239.093002,1
288.195007,413.503998,7
583.867004,453.852997,1
549.935974,207.559006,2
163.863007,272.687988,7
535,155.746002,2
330.765015,363.645996,6
665.755005,327.566986,0
152.292007,347.648987,5
337.131012,362.05899,6
631.010986,443.962006,1
245.641998,426.362,7
95.161003,416.279999,7
376.446014,211.813004,4
508.174011,429.858002,1
608.848999,248.307007,1
480.692993,159.154999,3
601.304016,87.805,1
40.584,245.417007,7
108.983002,81.510002,8
178.016006,402.902008,7
518.534973,439.873993,1
311.152008,344.179993,6
305.458008,38.550999,8
275.852997,415.115997,7
271.557007,391.984985,7
425.753998,121.133003,3
436.927002,140.483994,3
271.466003,280.044006,7
168.973999,251.395004,7
144.906998,113.889,8
449.123993,129.988998,3
131.936996,149.259003,9
382.863007,386.951996,7
476.02301,341.609009,7
344.265015,413.817993,7
318.313995,91.872002,8
639.960999,256.539001,1
176.649994,371.484985,5
632.093994,426.82901,1
523.307007,433.528992,1
126.763,272.737,7
