% source: http://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=5000 vectors and M=15 Gaussian clusters with different degree of cluster overlapping.
%
% P. Fränti and O. Virmajoki, "Iterative shrinking method for clustering problems", Pattern Recognition, 39 (5), 761-765, May 2006.
%
@RELATION s-set2

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL

@DATA
845753,636607
812954,643720
868217,609046
920248,607272
841621,639394
843907,598777
817712,620917
865980,632292
876539,639944
805247,642901
829227,565484
834679,669557
851242,630615
890325,702688
832159,638667
833736,637738
778784,571492
844489,672382
825802,638894
875471,622426
879225,639387
819482,633447
818212,633262
839324,651033
817439,678071
876202,600942
841025,623927
850781,619234
754610,657392
842733,640979
881538,613492
804685,671123
877083,575129
847312,655073
827558,623170
896258,707205
829939,644422
880719,597439
828313,669762
778978,589645
832323,624353
838906,655174
913673,576755
875535,587227
797487,625675
893942,596033
770410,662419
814804,605047
832215,638387
840280,643770
833327,621905
763542,635170
825599,608689
813209,683512
938544,680392
834393,656902
787129,643393
801229,617139
886144,566002
865073,661021
796962,632416
822877,612926
835985,639514
908901,628142
807989,610817
823816,651852
818245,618659
827601,640196
846830,641704
829041,623258
858850,714281
835967,564514
835698,660461
843223,632872
880916,697241
813541,641007
913911,586519
707529,693451
846436,659041
865316,690133
842837,647272
856101,601665
822815,616988
823364,620870
817697,617678
822368,648690
855476,711703
818065,675114
843822,686283
834396,637625
802367,626026
774481,694664
805075,559992
828813,622656
841088,641913
736868,591803
812519,658809
847097,610257
880136,670834
871566,663124
835178,647851
801113,631728
836302,641336
865563,600752
856184,670732
930906,675380
787684,612023
879210,671905
940080,668730
812951,619690
782647,635710
834146,634536
825334,626399
827880,657944
806472,625818
813142,634900
834478,637224
859522,666389
812822,650842
927475,652500
830057,593423
852554,687005
755212,616702
825515,636212
841978,583774
828956,617518
851077,623381
847787,616365
781111,594759
793474,650770
849922,659848
857555,592525
851042,620360
801896,668379
798422,689889
802904,649859
833844,679629
844117,650340
750522,621023
835324,635252
805810,620656
826540,709657
821335,650998
844114,619755
799854,605921
835851,659073
850049,594729
901514,652113
826740,617100
864116,598962
830754,656445
816172,642632
875320,588946
836090,553666
944095,704540
834141,639092
858997,628120
819923,617399
812780,635276
808308,627973
868777,586944
848355,652762
853192,621237
769703,672760
983609,624193
767435,659742
795478,653018
867257,713816
822799,582231
795493,623079
894097,564130
836258,638770
725411,693316
824187,721313
835113,638129
874788,594226
811045,640408
806425,629019
817577,599782
829553,641233
780758,698302
835775,635385
836176,639066
814374,659984
787165,670018
765298,632123
814905,686125
830536,651952
837750,634132
819893,646919
803133,663437
893841,718071
869331,617053
847430,623157
810547,597362
887955,652980
856277,650393
945668,662295
910884,606259
823954,581126
780635,613287
827314,657722
874290,682154
801009,632553
758093,635151
834477,615434
778438,668842
851028,601248
847403,680628
809226,590160
847930,639549
831541,638580
818121,643361
880168,671935
815109,645044
765957,654001
917544,625573
783878,625178
889986,596630
786184,663836
918549,595580
873325,661718
836224,622436
881118,595784
854502,597915
877342,656313
849343,644126
796153,621598
806313,641996
847671,637692
869123,660870
848927,645583
800992,654397
877837,634860
836202,600653
803719,688801
812864,648497
871038,632419
848660,637062
870340,608506
839706,604004
773106,587731
838636,638170
833424,637495
803393,632114
806771,696582
837422,684164
808230,615889
839817,657140
836065,643735
832197,640740
826449,642156
864411,657059
859075,596485
821763,646463
752624,684688
761780,639502
814196,638101
837052,638157
897135,678084
839617,656945
818902,650155
840603,639421
788208,596833
830238,629304
961248,667934
821180,615439
865014,601082
812456,609760
850548,639470
846404,608400
844405,710620
834271,681372
892746,564842
832917,653009
815156,643108
862657,628917
736311,562847
836640,689624
828915,641716
827016,648159
717529,589445
828640,621078
825800,639916
867216,629792
788063,640066
