% source: http://cs.joensuu.fi/sipu/datasets/
%
% Synthetic 2-d data with N=5000 vectors and M=15 Gaussian clusters with different degree of cluster overlapping.
%
% P. Fränti and O. Virmajoki, "Iterative shrinking method for clustering problems", Pattern Recognition, 39 (5), 761-765, May 2006.
%
@RELATION s-set1
%
@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE CLASS {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
%
@DATA
664159.0,550946.0,16
665845.0,557965.0,16
597173.0,575538.0,16
618600.0,551446.0,16
635690.0,608046.0,16
588100.0,557588.0,16
582015.0,546191.0,16
604678.0,574577.0,16
572029.0,518313.0,16
604737.0,574591.0,16
577728.0,587566.0,16
602013.0,574722.0,16
627968.0,574625.0,16
607269.0,536961.0,16
603145.0,574795.0,16
671919.0,571761.0,16
612184.0,570393.0,16
600032.0,575310.0,16
627912.0,593892.0,16
601967.0,604428.0,16
591851.0,569051.0,16
601444.0,572693.0,16
629718.0,558104.0,16
661430.0,603567.0,16
597551.0,556737.0,16
601182.0,582584.0,16
562704.0,570596.0,16
605107.0,563429.0,16
607214.0,575069.0,16
568824.0,570203.0,16
612485.0,518009.0,16
589244.0,573777.0,16
625579.0,551084.0,16
560237.0,500154.0,16
626224.0,569687.0,16
610666.0,551701.0,16
597428.0,569940.0,16
600582.0,599535.0,16
604168.0,555003.0,16
613871.0,550423.0,16
617310.0,551945.0,16
625728.0,579460.0,16
606300.0,566708.0,16
638559.0,558807.0,16
582176.0,630383.0,16
544056.0,577786.0,16
631297.0,578351.0,16
561574.0,621747.0,16
604973.0,574773.0,16
605284.0,556134.0,16
617910.0,592293.0,16
555904.0,640401.0,16
526559.0,509417.0,16
603849.0,572396.0,16
598634.0,619900.0,16
603359.0,589262.0,16
657455.0,567754.0,16
614279.0,599251.0,16
578496.0,631434.0,16
645171.0,595209.0,16
688015.0,533535.0,16
656477.0,573007.0,16
540029.0,563888.0,16
597418.0,538362.0,16
613545.0,574733.0,16
628696.0,542447.0,16
604157.0,574191.0,16
603126.0,497987.0,16
605850.0,533310.0,16
596179.0,529556.0,16
610330.0,552628.0,16
598184.0,531473.0,16
620438.0,511694.0,16
600202.0,622079.0,16
603021.0,577991.0,16
515612.0,540643.0,16
606548.0,574376.0,16
593490.0,623110.0,16
607084.0,595500.0,16
583728.0,563146.0,16
616044.0,533807.0,16
624452.0,584622.0,16
604438.0,574666.0,16
625709.0,660145.0,16
